id;createdTime;ESQUEMA;TABLA;ID_ORIGEN;MODELO
recMU1cKcKWEHpBbN;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranjax_ar_npos_nposventadongle_vw;dlanalytics.db_naranja_facts_analytics.tb_naranjax_ar_npos_nposventadongle_vw;
recMYW3MZRYsz99k6;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_vesvendorentityint_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_vesvendorentityint_vw;
recMzMi4kcEgdogDp;2020-06-22T01:17:25.000Z;dwh;DIM_ESTADO_MORA  (a partir de FAC_MORA_ESTADOS);dwh.DIM_ESTADO_MORA  (a partir de FAC_MORA_ESTADOS);
recN063n98vRRpw2Q;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mtarje;core./usr/cobol/salto/arch/mtarje;
recNMXmbWYaSt4y1O;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_salesordergrid_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_salesordergrid_vw;
recOc0LzPUnnQhQtg;2020-06-22T01:17:25.000Z;telesoft;CR.ABOHISTORIA;telesoft.CR.ABOHISTORIA;
recPTWy1dLDTZcRmN;2020-06-22T01:17:25.000Z;ics;COBRA.CUSTOM_PEOPLE;ics.COBRA.CUSTOM_PEOPLE;
recPYcynkbehDsOEm;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_salesorder_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_salesorder_vw;
recQd1vVB2eqRE5xL;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_vesvendorentity_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_vesvendorentity_vw;
recRD5j3mmvyxpdkb;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_pr_scorecobranzas_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_pr_scorecobranzas_vw;
recRqtnlp88gCFmcz;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mpatrimonio;core./usr/cobol/salto/arch/mpatrimonio;
recRvdcAQP69M86FM;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_pr_scorejustoparavos_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_pr_scorejustoparavos_vw;
recS6OraC3kWXcdo1;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_dwh_dimnivelriesgo_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_dwh_dimnivelriesgo_vw;
recSaGNULaNR6l8bO;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_dwh_nivelriesgo_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_dwh_nivelriesgo_vw;
recSvSdkKknjcdeWK;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_core_gestiones_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_core_gestiones_vw;
recT5tMgFSAq9pEbR;2020-06-22T01:17:25.000Z;telesoft;CR.ABOGADO;telesoft.CR.ABOGADO;
recTEfoefoyd21RlD;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mcajas;core./usr/cobol/salto/arch/mcajas;
recTEubQiraMVUa7C;2020-06-22T01:17:25.000Z;sap;PROCESOS_ACCIONES;sap.PROCESOS_ACCIONES;
recTKI1wK2n2y2ekN;2020-06-22T01:17:25.000Z;s3raw;datalake-produccion-rawdata/esle_promociones;s3raw.datalake-produccion-rawdata/esle_promociones;
recTXr3W9cDlicQf6;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mlabora;core./usr/cobol/salto/arch/mlabora;
recUEdxbyz9u7MsZJ;2020-06-22T01:17:25.000Z;telesoft;CR.CUOTASREFINANCIA;telesoft.CR.CUOTASREFINANCIA;
recUeimFQPjnCOPW1;2020-06-22T01:17:25.000Z;telesoft;CR.PAGOS;telesoft.CR.PAGOS;
recUpkKJRU6TfA8Bp;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranjax_ar_npos_nposcomercios_vw;dlanalytics.db_naranja_facts_analytics.tb_naranjax_ar_npos_nposcomercios_vw;
recUwGlAuCVAwXliG;2020-06-22T01:17:25.000Z;s3raw;db_naranja_sap_raw/tb_pedidos;s3raw.db_naranja_sap_raw/tb_pedidos;
recVon9djspktgabR;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductentitydecimal_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductentitydecimal_vw;
recW94xqm4Cd7gtwj;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_core_cuentas_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_core_cuentas_vw;
recWWIownbRDQ3nwB;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_inventorysourceitem_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_inventorysourceitem_vw;
recWgoyYIxbXvDdx1;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_dwh_scorecomportamiento_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_dwh_scorecomportamiento_vw;
recXEXvkSK8bOtF4a;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mcoam;core./usr/cobol/salto/arch/mcoam;
recXbTKgKfn1oOaZl;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_summapaymentplan_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_summapaymentplan_vw;
recXn1of31w0sAAGm;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/memail;core./usr/cobol/salto/arch/memail;
recXqfzdLxpGany8e;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranjax_ar_npos_npostransacciones_vw;dlanalytics.db_naranja_facts_analytics.tb_naranjax_ar_npos_npostransacciones_vw;
recY8Stq4Z5bysfap;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_vista360_analytics_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_vista360_analytics_vw;
recYHIqeVUIZdFFQC;2020-06-22T01:17:25.000Z;dwh;FAC_SCORE_COBRANZAS;dwh.FAC_SCORE_COBRANZAS;
